Date,Open,High,Low,Close,Volume,Return,MA_10,MA_20
2021-02-01,13.053250312805176,13.270750045776367,12.902750015258787,13.237000465393066,217204000,0.019034281544174636,13.325500106811523,13.285312461853028
2021-02-02,13.39875030517578,13.571999549865724,13.285499572753906,13.556750297546388,220440000,0.024155761948432275,13.378650093078614,13.307474994659424
2021-02-03,13.63599967956543,13.931750297546388,13.51650047302246,13.530500411987305,245408000,-0.0019362963086982932,13.395125102996825,13.313762521743774
2021-02-04,13.531000137329102,13.673500061035156,13.337750434875488,13.664250373840332,201340000,0.009885071341081408,13.374800109863282,13.366250038146973
2021-02-05,13.725000381469728,13.737250328063965,13.54574966430664,13.590999603271484,169152000,-0.005360760273324883,13.362650108337402,13.378600025177002
2021-02-08,13.727250099182127,14.473750114440918,13.727250099182127,14.438750267028809,434624000,0.062375887609713576,13.441200160980225,13.436700057983398
2021-02-09,14.340749740600586,14.583250045776367,14.22249984741211,14.263250350952148,287560000,-0.012154785755760122,13.52400016784668,13.468787574768067
2021-02-10,14.463250160217283,14.904999732971191,14.341500282287598,14.764249801635742,485352000,0.03512519505416578,13.7086501121521,13.532762575149537
2021-02-11,14.980250358581545,15.272250175476074,14.925000190734863,15.250749588012695,450828000,0.0329512025950045,13.928625106811523,13.618712568283081
2021-02-12,15.050000190734863,15.291250228881836,14.774999618530272,14.96125030517578,374756000,-0.018982626471322206,14.125775146484376,13.706762599945069
2021-02-16,15.064249992370604,15.3725004196167,14.949999809265137,15.330249786376951,321960000,0.0246636794167876,14.335100078582764,13.830300092697144
2021-02-17,15.17099952697754,15.22350025177002,14.779999732971191,14.906000137329102,274756000,-0.027674020642824426,14.470025062561035,13.924337577819824
2021-02-18,14.729000091552734,14.873250007629396,14.574999809265137,14.82900047302246,233868000,-0.0051656825169222875,14.59987506866455,13.997500085830689
2021-02-19,15.024499893188477,15.177000045776367,14.846750259399414,14.92650032043457,271724000,0.006574943981523695,14.726100063323974,14.050450086593628
2021-02-22,14.774749755859377,15.13325023651123,14.324999809265137,14.35575008392334,325884000,-0.03823737810328298,14.80257511138916,14.082612609863281
2021-02-23,14.075249671936035,14.238750457763672,13.38949966430664,14.142000198364258,391780000,-0.01488949614680568,14.772900104522705,14.107050132751464
2021-02-24,14.122750282287598,14.506750106811523,13.755999565124512,14.49899959564209,448320000,0.025243911205652836,14.796475028991699,14.16023759841919
2021-02-25,14.045499801635742,14.374750137329102,13.2162504196167,13.307499885559082,824436000,-0.08217806354316559,14.650800037384034,14.179725074768067
2021-02-26,13.7524995803833,13.854499816894531,13.361000061035156,13.714500427246094,500932000,0.030584297966342877,14.497175121307373,14.212900114059448
2021-03-01,13.875,13.925000190734863,13.553250312805176,13.841750144958496,353184000,0.009278479984557109,14.385225105285645,14.25550012588501
2021-03-02,13.899999618530272,13.920499801635742,13.395999908447266,13.40625,264116000,-0.03146279483430181,14.19282512664795,14.263962602615356
2021-03-03,13.426250457763672,13.451499938964844,12.798749923706056,12.804750442504885,377592000,-0.04486709985977555,13.982700157165528,14.226362609863282
2021-03-04,12.80074977874756,12.975000381469728,12.083749771118164,12.37024974822998,573344000,-0.03393277332704547,13.736825084686279,14.168350076675415
2021-03-05,12.550000190734863,12.550000190734863,11.67924976348877,12.46150016784668,542840000,0.007376602855553083,13.49032506942749,14.108212566375732
2021-03-08,12.449999809265137,12.4712495803833,11.566499710083008,11.593250274658203,543112000,-0.06967458825132034,13.214075088500977,14.008325099945068
2021-03-09,12.130249977111816,12.61674976348877,12.059249877929688,12.52025032043457,521824000,0.07996032379312168,13.051900100708007,13.912400102615356
2021-03-10,12.840499877929688,12.979999542236328,12.457500457763672,12.468250274658203,384376000,-0.004153275249736521,12.848825168609618,13.82265009880066
2021-03-11,12.949999809265137,13.046250343322754,12.73449993133545,12.993499755859377,299916000,0.04212696004897709,12.817425155639649,13.73411259651184
2021-03-12,12.648249626159668,12.888750076293944,12.59000015258789,12.855999946594238,243964000,-0.01058219970359664,12.731575107574463,13.614375114440918
2021-03-15,12.864749908447266,13.20674991607666,12.767250061035156,13.19124984741211,221988000,0.026077310377298435,12.666525077819824,13.525875091552734
2021-03-16,13.356499671936035,13.512499809265137,13.11674976348877,13.291250228881836,272128000,0.007580811721896508,12.655025100708007,13.423925113677978
2021-03-17,13.039750099182127,13.45324993133545,12.989500045776367,13.3412504196167,243864000,0.0037618876985863192,12.708675098419189,13.345687627792358
2021-03-18,13.136500358581545,13.184000015258787,12.717000007629396,12.72249984741211,293896000,-0.04637875407051739,12.743900108337403,13.24036259651184
2021-03-19,12.75,12.921500205993652,12.612500190734863,12.845749855041504,299208000,0.009687562122821625,12.782325077056885,13.136325073242187
2021-03-22,12.912750244140623,13.39449977874756,12.906749725341797,13.186249732971191,297804000,0.026506812118566536,12.941625022888184,13.07785005569458
2021-03-23,13.254249572753906,13.344499588012695,13.021249771118164,13.07075023651123,222048000,-0.008759086078217071,12.99667501449585,13.024287557601928
2021-03-24,13.151249885559082,13.159250259399414,12.63675022125244,12.642999649047852,245840000,-0.032725786945918434,13.014149951934815,12.931487560272217
2021-03-25,12.499500274658203,12.714750289916992,12.272000312805176,12.535249710083008,295144000,-0.008522497979580268,12.968324947357178,12.892875051498413
2021-03-26,12.554499626159668,12.856249809265137,12.373499870300291,12.83924961090088,363968000,0.024251603107143804,12.966649913787842,12.849112510681152
2021-03-29,12.820249557495115,13.0625,12.699999809265137,12.948249816894531,273520000,0.00848960876195659,12.942349910736084,12.804437494277954
2021-03-30,12.842000007629396,12.975250244140623,12.704999923706056,12.871749877929688,200204000,-0.0059081296736357425,12.900399875640868,12.777712488174439
2021-03-31,13.01550006866455,13.470499992370604,12.982500076293944,13.34825038909912,314776000,0.037019093416851945,12.90109987258911,12.80488748550415
2021-04-01,13.572250366210938,13.869999885559082,13.511249542236328,13.811750411987305,308276000,0.034723653615810424,13.010024929046631,12.876962518692016
2021-04-05,13.86750030517578,14.013999938964844,13.732999801635742,13.987500190734863,255672000,0.012724656434207171,13.124199962615966,12.953262519836425
2021-04-06,13.999750137329102,14.05424976348877,13.773500442504885,13.861499786376951,191744000,-0.009008071681126606,13.191724967956542,13.066674995422364
2021-04-07,13.880749702453612,14.243499755859377,13.71150016784668,14.143500328063965,251284000,0.020344157993939627,13.298999977111816,13.147837495803833
2021-04-08,14.252750396728516,14.471500396728516,14.24899959564209,14.31700038909912,244416000,0.01226712320223089,13.466400051116944,13.240275001525879
2021-04-09,14.21399974822998,14.407999992370604,14.175000190734863,14.399999618530272,195172000,0.00579724992494568,13.65287504196167,13.310599994659423
2021-04-12,14.289750099182127,15.352499961853027,14.139249801635742,15.208999633789062,869324000,0.056180558103470446,13.889850044250489,13.428249979019165
2021-04-13,15.231499671936035,15.699999809265137,15.125749588012695,15.679499626159668,676212000,0.03093563046219816,14.162975025177001,13.552662467956543
2021-04-14,15.625,15.720499992370604,15.227499961853027,15.277000427246094,385500000,-0.02567041095125544,14.403500080108643,13.651949977874756
2021-04-15,15.662500381469728,16.214250564575195,15.631500244140623,16.137250900268555,598480000,0.05631016881352102,14.682400131225586,13.79175000190735
2021-04-16,16.05299949645996,16.16575050354004,15.865249633789062,15.912500381469728,335208000,-0.013927435359828655,14.892475128173828,13.951250028610229
2021-04-19,15.536499977111816,15.807499885559082,15.232999801635742,15.361749649047852,404420000,-0.03461119995090345,15.029900074005127,14.077050018310548
2021-04-20,15.323249816894531,15.496999740600586,14.963000297546388,15.171250343322754,334132000,-0.012400885971794562,15.160875129699708,14.176300048828125
2021-04-21,15.118749618530272,15.362500190734863,15.102250099182127,15.36050033569336,216776000,0.012474251501221723,15.282575130462646,14.290787553787231
2021-04-22,15.375,15.43850040435791,14.783499717712402,14.850250244140623,277788000,-0.03321832495046162,15.335900115966798,14.40115008354187
2021-04-23,14.934249877929688,15.335000038146973,14.900250434875488,15.265250205993652,227500000,0.027945654452306234,15.422425174713135,14.537650108337402
2021-04-26,15.1850004196167,15.479000091552734,15.125,15.477999687194824,197796000,0.013936848615664355,15.44932518005371,14.6695876121521
2021-04-27,15.578499794006348,15.670499801635742,15.354499816894531,15.381750106811523,164572000,-0.006218476697795072,15.419550228118897,14.79126262664795
2021-04-28,15.364500045776367,15.53225040435791,15.215499877929688,15.27674961090088,209416000,-0.0068263035858413534,15.419525146484375,14.911512613296509
2021-04-29,15.399999618530272,15.43649959564209,15.071499824523926,15.324749946594238,173196000,0.003142051608878038,15.338275051116943,15.010337591171265
2021-04-30,15.174500465393066,15.364999771118164,14.996999740600586,15.009499549865724,201912000,-0.02057132402337014,15.247974967956543,15.070225048065186
2021-05-03,15.125,15.246749877929688,14.787500381469728,14.836750030517578,203912000,-0.01150934571630613,15.195475006103516,15.11268754005432
2021-05-04,14.637249946594238,14.637499809265137,14.010250091552734,14.35124969482422,405324000,-0.03272282236303348,15.113474941253662,15.137175035476684
2021-05-05,14.708999633789062,14.81350040435791,14.387499809265137,14.458499908447266,292024000,0.00747323166300462,15.023274898529053,15.15292501449585
2021-05-06,14.49524974822998,14.571249961853027,14.218000411987305,14.52299976348877,193380000,0.004461033679145299,14.990549850463868,15.163224983215333
2021-05-07,14.808250427246094,14.970749855041504,14.67175006866455,14.812250137329102,229328000,0.019916709946351085,14.945249843597413,15.183837509155273
2021-05-10,14.787249565124512,14.805999755859377,14.25,14.26574993133545,268904000,-0.03689515103558705,14.824024868011474,15.136675024032593
2021-05-11,13.824999809265137,14.35474967956543,13.75,14.306249618530272,285584000,0.00283894554368036,14.71647481918335,15.068012523651124
2021-05-12,14.009499549865724,14.260250091552734,13.709250450134276,13.758500099182127,303408000,-0.03828742919728367,14.564649868011475,14.992087507247925
2021-05-13,14.0337495803833,14.080750465393066,13.458999633789062,13.665249824523926,285404000,-0.006777648289128857,14.398699855804443,14.868487453460693
2021-05-14,13.890000343322754,14.32800006866455,13.748499870300291,14.243000030517578,258616000,0.04227878841679211,14.32204990386963,14.785012435913085
2021-05-17,14.156999588012695,14.169249534606934,13.853500366210938,14.165499687194824,216980000,-0.005441293488499532,14.254924869537353,14.725199937820435
2021-05-18,14.267000198364258,14.404250144958496,14.003999710083008,14.01574993133545,186256000,-0.010571441824586247,14.221374893188477,14.66742491722107
2021-05-19,13.566499710083008,14.079500198364258,13.54325008392334,14.065750122070312,344000000,0.003567428855381971,14.182099914550781,14.602687406539918
2021-05-20,14.302499771118164,14.68375015258789,14.270500183105469,14.612500190734863,321592000,0.038871021020532304,14.191049957275391,14.590799903869629
2021-05-21,15.16374969482422,15.222000122070312,14.869500160217283,14.99174976348877,672992000,0.025953777095200525,14.208999919891358,14.577124881744385
2021-05-24,15.212499618530272,15.744999885559082,15.175999641418455,15.612000465393066,554816000,0.041372802487329885,14.34362497329712,14.583824920654298
2021-05-25,15.765999794006348,15.818499565124512,15.482500076293944,15.647749900817873,435408000,0.002289868969966413,14.47777500152588,14.597124910354614
2021-05-26,15.73425006866455,15.793749809265137,15.58625030517578,15.699999809265137,370440000,0.003339132385068,14.67192497253418,14.618287420272827
2021-05-27,15.699749946594238,15.75,15.460000038146973,15.48799991607666,581476000,-0.013503178074140365,14.854199981689453,14.626449918746948
2021-05-28,15.50100040435791,16.27750015258789,15.50100040435791,16.24449920654297,644536000,0.04884422098175878,15.054349899291992,14.688199901580811
2021-06-01,16.270000457763672,16.38825035095215,15.903249740600586,16.26449966430664,472804000,0.0012312141796047005,15.264249897003173,14.759587383270263
2021-06-02,16.25225067138672,16.918750762939453,16.23550033569336,16.778249740600586,594168000,0.03158720445741103,15.540499877929687,14.880937385559083
2021-06-03,16.70075035095215,17.259000778198242,16.58300018310547,16.969749450683594,580008000,0.011413568938577034,15.830899810791015,15.006499862670898
2021-06-04,17.112499237060547,17.660999298095703,17.095500946044922,17.578250885009766,617120000,0.03585800934153793,16.127474880218507,15.159262418746948
2021-06-07,17.571250915527344,17.8125,17.192750930786133,17.618999481201172,575756000,0.0023181257599500515,16.390199851989745,15.299599885940552
2021-06-08,17.527250289916992,17.62150001525879,17.250999450683594,17.457000732421875,323848000,-0.009194548700233729,16.574699878692627,15.459162425994872
2021-06-09,17.515750885009766,17.575000762939453,17.25575065612793,17.35824966430664,381656000,-0.005656817550097837,16.745749855041502,15.611762428283692
2021-06-10,17.350000381469727,17.492000579833984,17.176000595092773,17.424999237060547,287772000,0.0038454091884139174,16.918249797821044,15.795087385177613
2021-06-11,17.47949981689453,17.939250946044922,17.443750381469727,17.82525062561035,416308000,0.022969951568119873,17.151974868774413,16.003087425231932
2021-06-14,17.9060001373291,18.039499282836918,17.662750244140625,18.018749237060547,321376000,0.010855309443570382,17.329399871826173,16.19187488555908
2021-06-15,17.915000915527344,18.01625061035156,17.72800064086914,17.78849983215332,243032000,-0.012778323394037505,17.48179988861084,16.373024892807006
2021-06-16,17.79075050354004,17.954750061035156,17.58449935913086,17.81024932861328,307124000,0.0012226717635090978,17.58499984741211,16.5627498626709
2021-06-17,17.774499893188477,18.834999084472656,17.756250381469727,18.657249450683597,809656000,0.047556893025049174,17.75374984741211,16.792324829101563
2021-06-18,18.78400039672852,19.375,18.583999633789062,18.638750076293945,968856000,-0.0009915381384888455,17.859799766540526,16.993637323379517
2021-06-21,18.43524932861328,18.536500930786133,17.822750091552734,18.427249908447266,672384000,-0.011347336435165833,17.940624809265138,17.16541233062744
2021-06-22,18.47150039672852,18.9637508392334,18.38599967956543,18.886749267578125,580144000,0.024935861911777657,18.083599662780763,17.329149770736695
2021-06-23,19.00774955749512,19.15275001525879,18.90774917602539,19.057249069213867,332356000,0.00902748266629616,18.253499603271486,17.499624729156494
2021-06-24,19.22775077819824,19.420000076293945,19.08824920654297,19.20549964904785,320924000,0.007779222452073409,18.431549644470216,17.67489972114563
2021-06-25,19.280500411987305,19.34550094604492,18.894500732421875,19.0310001373291,278364000,-0.009085913665745293,18.55212459564209,17.85204973220825
2021-06-28,19.36124992370605,20.07875061035156,19.319000244140625,19.98500061035156,495436000,0.05012876181694703,18.74874973297119,18.03907480239868
2021-06-29,19.88249969482422,20.0987491607666,19.65699958801269,20.026750564575195,367632000,0.002089064445762956,18.97257480621338,18.22718734741211
2021-06-30,19.999250411987305,20.162500381469727,19.863750457763672,20.002500534057617,326568000,-0.0012108819371062784,19.191799926757813,18.38839988708496
2021-07-01,20.125,20.45599937438965,20.018999099731445,20.21199989318848,480136000,0.0104736584695575,19.3472749710083,18.550512409210206
2021-07-02,20.44025039672852,20.505250930786133,20.287750244140625,20.48699951171875,342764000,0.013605759943772,19.53209991455078,18.695949840545655
